id,artist_name,name,format,comment,discogs_url,index_by
102,Maija Vilkkumaa,Totuutta Ja Tehtävää,CD + DVD,null,https://www.discogs.com/Maija-Vilkkumaa-Totuutta-Ja-Teht%C3%A4v%C3%A4%C3%A4/release/2728988,Vilkkumaa
103,Aerosmith,Falling In Love (Is Hard On The Knees),CD single,null,https://www.discogs.com/Aerosmith-Falling-In-Love-Is-Hard-On-The-Knees/release/641183,null
104,Blur,The Universal,CD single,null,https://www.discogs.com/Blur-The-Universal/release/619710,null
105,Tracy Bonham,The One,CD single,null,https://www.discogs.com/Tracy-Bonham-The-One/release/1769421,Bonham
106,Dave Matthews Band,Don't Drink The Water,CD single,null,https://www.discogs.com/Dave-Matthews-Band-Dont-Drink-The-Water/release/5142212,null
108,Extreme,Stop The World,CD single,null,https://www.discogs.com/Extreme-Stop-The-World/release/972452,null
110,Guns N' Roses,Don't Cry,CD single,null,https://www.discogs.com/Guns-N-Roses-Dont-Cry/release/2008738,null
109,Genesis,Not About Us,CD single,null,https://www.discogs.com/Genesis-Not-About-Us/release/5577325,null
107,Don Johnson Big Band,Check The Record,CD single,null,https://www.discogs.com/Don-Johnson-Big-Band-Check-The-Record/release/2779246,null
111,INXS,Taste It,CD single,null,https://www.discogs.com/INXS-Taste-It/release/1555077,null
112,INXS,Elegantly Wasted,CD single,null,https://www.discogs.com/INXS-Elegantly-Wasted/release/184840,null
113,Jewel,Who Will Save Your Soul,CD single,Promo copy,https://www.discogs.com/Jewel-Who-Will-Save-Your-Soul/release/1605614,null
114,Elton John,Something About The Way You Look Tonight / Candle In The Wind 1997,CD single,null,https://www.discogs.com/Elton-John-Something-About-The-Way-You-Look-Tonight-Candle-In-The-Wind-1997/release/1861847,null
115,Quincy Jones introducing Tamia ,You Put A Move On My Heart,CD single,Promo copy,https://www.discogs.com/Quincy-Jones-introducing-Tamia-You-Put-A-Move-On-My-Heart/release/5673286,Jones
116,K's Choice,Mr. Freeze,CD single,null,https://www.discogs.com/Ks-Choice-Mr-Freeze/release/3888774,null
117,Kula Shaker,Tattva,CD single,null,https://www.discogs.com/Kula-Shaker-Tattva/release/3146559,null
118,"Live
Live",Freaks,CD single,null,https://www.discogs.com/Live-Freaks/release/2899045,null
119,Muse,In Your World • Dead Star,CD single,null,https://www.discogs.com/Muse-In-Your-World-Dead-Star/release/2361444,null
120,Muse,Undisclosed Desires,CD single,null,https://www.discogs.com/Muse-Undisclosed-Desires/release/2171921,null
121,Muse,Uprising,CD single,null,https://www.discogs.com/Muse-Uprising/release/8405315,null
122,Billie Myers,Kiss The Rain,CD single,null,https://www.discogs.com/Billie-Myers-Kiss-The-Rain/release/1156340,Myers
123,No Doubt,Don't Speak,CD single,null,discogs.com/No-Doubt-Dont-Speak/release/394002,null
124,Oasis,Supersonic,CD single,null,https://www.discogs.com/Oasis-Supersonic/release/582564,null
125,Oasis,Shakermaker,CD single,null,https://www.discogs.com/Oasis-Shakermaker/release/1588840,null
126,Oasis,Whatever,CD single,null,https://www.discogs.com/Oasis-Whatever/release/486891,null
127,Oasis,Some Might Say,CD single,null,https://www.discogs.com/Oasis-Some-Might-Say/release/622975,null
128,Oasis,Roll With It,CD single,null,https://www.discogs.com/Oasis-Roll-With-It/release/771426,null
129,Oasis,Wonderwall,CD single,null,https://www.discogs.com/Oasis-Wonderwall/release/371723,null
130,Oasis,Don't Look Back In Anger,CD single,null,https://www.discogs.com/Oasis-Dont-Look-Back-In-Anger/release/373408,null
131,Oasis,Champagne Supernova,CD single,null,https://www.discogs.com/Oasis-Champagne-Supernova/release/780265,null
132,Oasis,...There And Then,CD single,CD only,https://www.discogs.com/Oasis-There-And-Then/release/1590831,null
133,Oasis,D'You Know What I Mean?,CD single,null,https://www.discogs.com/Oasis-DYou-Know-What-I-Mean/release/512211,null
134,Oasis,All Around The World,CD single,null,https://www.discogs.com/Oasis-All-Around-The-World/release/776976,null
135,Placebo,Song To Say Goodbye,CD single,null,https://www.discogs.com/Placebo-Song-To-Say-Goodbye/release/638451,null
136,Placebo,Song To Say Goodbye,CD single,null,https://www.discogs.com/Placebo-Song-To-Say-Goodbye/release/1779494,null
137,Pulp,Something Changed,CD single,null,https://www.discogs.com/Pulp-Something-Changed/release/670077,null
138,Pulp,Help The Aged,CD single,null,https://www.discogs.com/Pulp-Help-The-Aged/release/370904,null
139,Trine Rein,Torn,CD single,null,https://www.discogs.com/Trine-Rein-Torn/release/1811517,Rein
140,The Verve,The Drugs Don't Work,CD single,null,https://www.discogs.com/The-Verve-The-Drugs-Dont-Work/release/1768360,null
